GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
6124,8.41E-298,6.60E-301,0.218,37.07698,8.080737,4818.89,RPL4,ribosomal protein L4
55363,1.63E-293,1.33E-296,0.247,36.80896,9.085127,6202.92,HEMGN,hemogen
3133,5.79E-291,4.91E-294,0.259,36.64807,9.503042,13180.26,HLA-E,"major histocompatibility complex, class I, E"
4170,9.21E-286,8.09E-289,0.254,36.31907,9.240079,8130.44,MCL1,"MCL1 apoptosis regulator, BCL2 family member"
4069,7.70E-285,7.01E-288,0.262,36.25963,9.499772,7097.26,LYZ,lysozyme
7534,3.76E-280,3.54E-283,0.189,35.95993,6.811939,4221.04,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
4904,3.45E-275,3.36E-278,0.239,35.64005,8.500666,10090.19,YBX1,Y-box binding protein 1
10521,2.33E-273,2.34E-276,0.218,35.52085,7.742975,4412.26,DDX17,DEAD-box helicase 17
6194,6.38E-272,6.61E-275,0.261,35.42679,9.250264,5139.43,RPS6,ribosomal protein S6
23347,1.87E-271,2.00E-274,0.232,35.39557,8.211684,10435.34,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1
7316,2.27E-270,2.50E-273,0.264,35.3242,9.33861,7276.45,UBC,ubiquitin C
23521,3.29E-270,3.71E-273,0.262,35.31297,9.237537,6086.84,RPL13A,ribosomal protein L13a
6653,4.37E-270,5.07E-273,0.206,35.30415,7.2892,11151.38,SORL1,sortilin related receptor 1
220972,1.43E-269,1.70E-272,0.202,35.26988,7.133544,4858.04,MARCHF8,membrane associated ring-CH-type finger 8
5292,2.37E-269,2.90E-272,0.232,35.25474,8.174044,3965.52,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
3105,7.05E-269,8.86E-272,0.278,35.2231,9.805867,8722.34,HLA-A,"major histocompatibility complex, class I, A"
1937,8.66E-269,1.12E-271,0.208,35.21657,7.33233,3465.01,EEF1G,eukaryotic translation elongation factor 1 gamma
3192,1.24E-267,1.63E-270,0.195,35.1404,6.849092,3189.69,HNRNPU,heterogeneous nuclear ribonucleoprotein U
3716,1.50E-266,2.02E-269,0.186,35.06868,6.514565,3272.89,JAK1,Janus kinase 1
54823,2.51E-266,3.47E-269,0.209,35.05331,7.330401,3370.58,SWT1,SWT1 RNA endoribonuclease homolog
9750,2.79E-266,3.95E-269,0.192,35.04965,6.716792,6552.05,RIPOR2,RHO family interacting cell polarization regulator 2
1975,4.16E-265,6.01E-268,0.194,34.97195,6.783943,3260.16,EIF4B,eukaryotic translation initiation factor 4B
54855,7.63E-265,1.13E-267,0.263,34.95401,9.176251,13198.43,TENT5C,terminal nucleotidyltransferase 5C
23451,1.54E-264,2.33E-267,0.215,34.93323,7.527497,3592.03,SF3B1,splicing factor 3b subunit 1
23770,1.78E-263,2.74E-266,0.267,34.86267,9.2982,11374.04,FKBP8,FKBP prolyl isomerase 8
472,7.37E-263,1.16E-265,0.187,34.82131,6.518612,5917.09,ATM,ATM serine/threonine kinase
221037,2.08E-262,3.32E-265,0.204,34.79104,7.099485,5275.68,JMJD1C,jumonji domain containing 1C
3106,1.27E-259,2.07E-262,0.309,34.60577,10.701379,16056.61,HLA-B,"major histocompatibility complex, class I, B"
7402,2.96E-259,4.92E-262,0.173,34.58072,5.973894,5967.6,UTRN,utrophin
7178,3.65E-259,6.19E-262,0.256,34.5741,8.857615,13161.87,TPT1,"tumor protein, translationally-controlled 1"
8826,1.48E-258,2.55E-261,0.199,34.53316,6.887561,5204.6,IQGAP1,IQ motif containing GTPase activating protein 1
4627,4.83E-255,8.49E-258,0.2,34.29772,6.858916,8159.94,MYH9,myosin heavy chain 9
1654,6.18E-254,1.10E-256,0.233,34.22287,7.971773,5443.54,DDX3X,DEAD-box helicase 3 X-linked
2987,7.11E-254,1.29E-256,0.26,34.21826,8.886511,5692.85,GUK1,guanylate kinase 1
57018,2.81E-253,5.20E-256,0.24,34.17762,8.197957,5604.59,CCNL1,cyclin L1
92521,8.69E-253,1.64E-255,0.179,34.14408,6.103254,5631.67,SPECC1,sperm antigen with calponin homology and coiled-coil domains 1
25793,2.38E-252,4.55E-255,0.279,34.11413,9.526225,10939.55,FBXO7,F-box protein 7
6789,1.85E-250,3.59E-253,0.174,33.98594,5.917631,3479.59,STK4,serine/threonine kinase 4
397,3.25E-250,6.42E-253,0.215,33.96888,7.293843,2932.79,ARHGDIB,Rho GDP dissociation inhibitor beta
3936,3.60E-249,7.23E-252,0.259,33.89759,8.777461,9488.77,LCP1,lymphocyte cytosolic protein 1
56882,1.89E-248,3.85E-251,0.217,33.84826,7.355554,2754.51,CDC42SE1,CDC42 small effector 1
9584,2.19E-248,4.54E-251,0.211,33.84341,7.1522,5156.61,RBM39,RNA binding motif protein 39
7812,2.94E-247,6.18E-250,0.213,33.7662,7.199154,3852.58,CSDE1,cold shock domain containing E1
10209,6.41E-247,1.37E-249,0.248,33.74271,8.3543,4097.13,EIF1,eukaryotic translation initiation factor 1
6208,1.13E-245,2.44E-248,0.227,33.65729,7.646904,3216.04,RPS14,ribosomal protein S14
6128,1.53E-245,3.36E-248,0.192,33.64777,6.462666,2819.43,RPL6,ribosomal protein L6
91526,1.70E-245,3.78E-248,0.191,33.64428,6.435155,3821.81,ANKRD44,ankyrin repeat domain 44
6122,5.24E-245,1.18E-247,0.235,33.61038,7.899913,3552.03,RPL3,ribosomal protein L3
3187,1.05E-244,2.40E-247,0.21,33.58938,7.069244,2724.56,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1
801,4.16E-243,9.66E-246,0.195,33.47925,6.527618,2378.6,CALM1,calmodulin 1
10957,4.44E-243,1.05E-245,0.253,33.47688,8.456795,3530.57,PNRC1,proline rich nuclear receptor coactivator 1
6143,9.43E-243,2.25E-245,0.245,33.45401,8.201539,3148.77,RPL19,ribosomal protein L19
51094,9.55E-243,2.31E-245,0.282,33.45325,9.449348,12312.78,ADIPOR1,adiponectin receptor 1
8301,1.20E-242,2.93E-245,0.252,33.44614,8.435947,6937.74,PICALM,phosphatidylinositol binding clathrin assembly protein
55914,1.54E-242,3.82E-245,0.219,33.43821,7.327884,3534.74,ERBIN,erbb2 interacting protein
6137,2.02E-240,5.08E-243,0.217,33.29177,7.22757,3670.89,RPL13,ribosomal protein L13
55196,3.66E-240,9.31E-243,0.247,33.27359,8.232218,6277.73,RESF1,retroelement silencing factor 1
1656,7.87E-240,2.03E-242,0.206,33.25024,6.861601,2979.4,DDX6,DEAD-box helicase 6
9595,2.48E-239,6.45E-242,0.225,33.21539,7.483157,2971.41,CYTIP,cytohesin 1 interacting protein
3312,2.70E-239,7.12E-242,0.24,33.21242,7.970994,2804.93,HSPA8,heat shock protein family A (Hsp70) member 8
6421,6.14E-239,1.64E-241,0.19,33.18738,6.29524,3204.29,SFPQ,splicing factor proline and glutamine rich
9774,2.42E-238,6.52E-241,0.196,33.14576,6.497613,2483.59,BCLAF1,BCL2 associated transcription factor 1
57448,2.90E-238,7.92E-241,0.169,33.13991,5.602584,3634.35,BIRC6,baculoviral IAP repeat containing 6
6187,6.07E-236,1.68E-238,0.232,32.97804,7.656636,2324.98,RPS2,ribosomal protein S2
6202,6.32E-236,1.77E-238,0.256,32.97649,8.430594,2866.27,RPS8,ribosomal protein S8
23499,9.27E-236,2.62E-238,0.162,32.96454,5.325518,4607.26,MACF1,microtubule actin crosslinking factor 1
71,2.14E-235,6.12E-238,0.263,32.9388,8.677973,3847.18,ACTG1,actin gamma 1
6134,5.06E-235,1.46E-237,0.274,32.91238,9.007376,3863.36,RPL10,ribosomal protein L10
5305,6.08E-235,1.78E-237,0.23,32.90648,7.58384,5118.03,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha
10096,7.63E-235,2.25E-237,0.227,32.89926,7.454345,2847.22,ACTR3,actin related protein 3
6129,9.89E-234,2.95E-236,0.241,32.82105,7.911958,3693.48,RPL7,ribosomal protein L7
6175,5.84E-233,1.76E-235,0.244,32.76664,8.008834,2631.26,RPLP0,ribosomal protein lateral stalk subunit P0
51629,1.24E-232,3.78E-235,0.268,32.74335,8.76813,11961.32,SLC25A39,solute carrier family 25 member 39
51669,8.46E-232,2.60E-234,0.229,32.68439,7.476065,2284.48,SARAF,store-operated calcium entry associated regulatory factor
10724,1.01E-230,3.12E-233,0.19,32.60833,6.183881,2891.33,OGA,O-GlcNAcase
2113,1.69E-229,5.32E-232,0.2,32.52137,6.509745,3232.02,ETS1,"ETS proto-oncogene 1, transcription factor"
6222,1.72E-229,5.46E-232,0.265,32.52056,8.632491,3453.51,RPS18,ribosomal protein S18
7323,1.94E-229,6.20E-232,0.23,32.51666,7.468186,4277.62,UBE2D3,ubiquitin conjugating enzyme E2 D3
23515,8.76E-229,2.83E-231,0.271,32.46997,8.802229,9706.98,MORC3,MORC family CW-type zinc finger 3
694,3.95E-228,1.29E-230,0.288,32.4233,9.353836,3931.9,BTG1,BTG anti-proliferation factor 1
8925,2.00E-227,6.59E-230,0.175,32.37296,5.654813,4179.85,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
3183,2.89E-227,9.61E-230,0.205,32.36133,6.631423,2403.03,HNRNPC,heterogeneous nuclear ribonucleoprotein C
567,1.45E-226,4.86E-229,0.353,32.31124,11.400232,27972.09,B2M,beta-2-microglobulin
6130,8.35E-225,2.83E-227,0.256,32.18533,8.245513,2893.18,RPL7A,ribosomal protein L7a
378707,2.20E-224,7.54E-227,0.45,32.15492,14.475533,173605.59,RN7SL3,RNA component of signal recognition particle 7SL3
7431,3.70E-223,1.28E-225,0.263,32.06686,8.441436,2654.79,VIM,vimentin
3921,4.83E-223,1.68E-225,0.255,32.05827,8.17078,2505.75,RPSA,ribosomal protein SA
6430,8.95E-223,3.15E-225,0.249,32.03877,7.96842,2578.2,SRSF5,serine and arginine rich splicing factor 5
6434,1.87E-222,6.62E-225,0.212,32.01558,6.792387,2059.81,TRA2B,transformer 2 beta homolog
3190,2.03E-222,7.25E-225,0.235,32.01273,7.520013,2859.07,HNRNPK,heterogeneous nuclear ribonucleoprotein K
55432,5.57E-222,2.01E-224,0.26,31.9809,8.311475,5386.08,YOD1,YOD1 deubiquitinase
23077,3.34E-220,1.22E-222,0.172,31.85244,5.490904,3185.53,MYCBP2,MYC binding protein 2
1982,5.44E-220,2.00E-222,0.225,31.83689,7.152098,3246.09,EIF4G2,eukaryotic translation initiation factor 4 gamma 2
2035,2.05E-219,7.58E-222,0.243,31.79506,7.711403,20134.18,EPB41,erythrocyte membrane protein band 4.1
682,3.93E-218,1.47E-220,0.25,31.70178,7.919519,3825.76,BSG,basigin (Ok blood group)
998,4.18E-218,1.58E-220,0.176,31.69955,5.592891,2963.36,CDC42,cell division cycle 42
5552,5.11E-218,1.94E-220,0.271,31.69296,8.573162,6506.79,SRGN,serglycin
645784,7.10E-218,2.72E-220,0.275,31.68235,8.71839,3602.27,ANKRD36BP2,ankyrin repeat domain 36B pseudogene 2
3021,9.70E-218,3.75E-220,0.291,31.67226,9.21923,4312.1,H3-3B,H3.3 histone B
3107,1.27E-217,4.96E-220,0.313,31.66342,9.915435,10109.44,HLA-C,"major histocompatibility complex, class I, C"
976,1.67E-217,6.55E-220,0.207,31.6546,6.561687,3254.79,ADGRE5,adhesion G protein-coupled receptor E5
1540,3.84E-217,1.52E-219,0.188,31.62808,5.951582,2163.25,CYLD,CYLD lysine 63 deubiquitinase
7009,4.80E-217,1.91E-219,0.202,31.62075,6.37844,2454.1,TMBIM6,transmembrane BAX inhibitor motif containing 6
7805,6.79E-217,2.73E-219,0.242,31.60956,7.636812,4257.8,LAPTM5,lysosomal protein transmembrane 5
54832,1.09E-216,4.43E-219,0.201,31.59427,6.365046,4362.78,VPS13C,vacuolar protein sorting 13 homolog C
6793,1.60E-215,6.53E-218,0.18,31.50906,5.674901,2599.15,STK10,serine/threonine kinase 10
6229,2.62E-215,1.08E-217,0.204,31.49313,6.435949,2276.77,RPS24,ribosomal protein S24
23064,5.44E-215,2.25E-217,0.194,31.46975,6.113122,3638.79,SETX,senataxin
9782,7.33E-215,3.08E-217,0.209,31.45982,6.57336,2131.78,MATR3,matrin 3
5594,7.33E-215,3.08E-217,0.221,31.45986,6.938587,2187.96,MAPK1,mitogen-activated protein kinase 1
253260,1.44E-214,6.11E-217,0.208,31.43809,6.53872,2478.7,RICTOR,RPTOR independent companion of MTOR complex 2
51696,2.61E-214,1.12E-216,0.206,31.41895,6.4595,1949.83,HECA,"hdc homolog, cell cycle regulator"
3181,3.20E-214,1.38E-216,0.233,31.41226,7.332741,2657.22,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1
204851,4.70E-214,2.03E-216,0.182,31.39982,5.718937,2298.3,HIPK1,homeodomain interacting protein kinase 1
23224,1.06E-213,4.63E-216,0.185,31.37364,5.791231,7189.51,SYNE2,spectrin repeat containing nuclear envelope protein 2
2995,1.45E-213,6.35E-216,0.292,31.36357,9.160354,10748.28,GYPC,glycophorin C (Gerbich blood group)
1843,7.68E-213,3.40E-215,0.318,31.31011,9.950965,7546.97,DUSP1,dual specificity phosphatase 1
3576,1.44E-212,6.44E-215,0.316,31.28972,9.891102,3890.1,CXCL8,C-X-C motif chemokine ligand 8
6651,1.45E-212,6.52E-215,0.201,31.28934,6.302992,3072.18,SON,SON DNA and RNA binding protein
116496,1.59E-212,7.18E-215,0.209,31.28626,6.539017,4001.66,NIBAN1,niban apoptosis regulator 1
3178,3.39E-212,1.54E-214,0.206,31.26177,6.453731,2263.88,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1
10260,3.96E-212,1.82E-214,0.202,31.25659,6.305645,3624.67,DENND4A,DENN domain containing 4A
23345,4.03E-211,1.86E-213,0.165,31.18215,5.155543,5848.5,SYNE1,spectrin repeat containing nuclear envelope protein 1
6023,1.05E-210,4.87E-213,0.461,31.1513,14.369841,40408.23,RMRP,RNA component of mitochondrial RNA processing endoribonuclease
255394,1.24E-210,5.82E-213,0.214,31.14559,6.65166,2077.93,TCP11L2,t-complex 11 like 2
26994,2.90E-210,1.37E-212,0.275,31.11821,8.547045,2991.58,RNF11,ring finger protein 11
2908,2.92E-210,1.39E-212,0.187,31.11775,5.805624,3153.49,NR3C1,nuclear receptor subfamily 3 group C member 1
29035,9.70E-210,4.63E-212,0.193,31.07901,6.00351,2751.33,HAPSTR1,HUWE1 associated protein modifying stress responses
81539,1.00E-209,4.82E-212,0.18,31.07769,5.578917,2481.68,SLC38A1,solute carrier family 38 member 1
23645,1.00E-209,4.86E-212,0.234,31.07747,7.285893,2536.08,PPP1R15A,protein phosphatase 1 regulatory subunit 15A
284996,1.68E-209,8.17E-212,0.226,31.06076,7.004946,4750.3,RNF149,ring finger protein 149
6205,2.46E-209,1.20E-211,0.307,31.04831,9.540044,4546.83,RPS11,ribosomal protein S11
5757,3.40E-209,1.68E-211,0.212,31.03762,6.577001,2210.36,PTMA,prothymosin alpha
7094,2.40E-208,1.19E-210,0.184,30.97448,5.690136,5294.53,TLN1,talin 1
2752,3.52E-208,1.76E-210,0.225,30.96188,6.960664,7416.86,GLUL,glutamate-ammonia ligase
23200,5.10E-208,2.58E-210,0.205,30.94955,6.333625,2109.52,ATP11B,ATPase phospholipid transporting 11B (putative)
4946,5.10E-208,2.56E-210,0.339,30.9497,10.487379,10009.12,OAZ1,ornithine decarboxylase antizyme 1
115294,1.86E-207,9.44E-210,0.276,30.90762,8.53518,5101.98,PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
4214,2.65E-207,1.36E-209,0.194,30.8959,5.987667,2628.1,MAP3K1,mitogen-activated protein kinase kinase kinase 1
7175,6.98E-207,3.60E-209,0.186,30.86435,5.748188,2065.68,TPR,"translocated promoter region, nuclear basket protein"
3146,2.11E-206,1.09E-208,0.194,30.82837,5.97252,1874,HMGB1,high mobility group box 1
51621,3.36E-206,1.75E-208,0.185,30.81306,5.693327,1920.18,KLF13,KLF transcription factor 13
6171,3.30E-205,1.73E-207,0.288,30.73872,8.867355,4143.66,RPL41,ribosomal protein L41
10399,4.04E-205,2.13E-207,0.268,30.73194,8.235939,2617.79,RACK1,receptor for activated C kinase 1
3676,5.60E-205,2.97E-207,0.232,30.72115,7.124538,3026.61,ITGA4,integrin subunit alpha 4
9262,3.45E-204,1.84E-206,0.256,30.66176,7.861937,4396.32,STK17B,serine/threonine kinase 17b
6135,3.65E-204,1.96E-206,0.254,30.65972,7.775649,2606.44,RPL11,ribosomal protein L11
7832,4.31E-204,2.33E-206,0.246,30.65411,7.55552,2296.41,BTG2,BTG anti-proliferation factor 2
3725,4.82E-204,2.62E-206,0.242,30.65032,7.427975,2249.77,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
6189,6.71E-204,3.66E-206,0.278,30.63935,8.503554,4604.53,RPS3A,ribosomal protein S3A
55233,8.86E-204,4.87E-206,0.228,30.6301,6.995596,2353.19,MOB1A,MOB kinase activator 1A
2744,1.12E-203,6.19E-206,0.202,30.62227,6.188076,2122.41,GLS,glutaminase
25957,1.14E-203,6.31E-206,0.193,30.6216,5.924536,1842.78,PNISR,PNN interacting serine and arginine rich protein
133418,2.91E-203,1.62E-205,0.223,30.59077,6.831991,1489.88,EMB,embigin
6161,7.46E-203,4.19E-205,0.271,30.55979,8.292037,2802.99,RPL32,ribosomal protein L32
3726,6.21E-202,3.51E-204,0.326,30.49028,9.925635,4838.04,JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit"
114882,6.84E-202,3.88E-204,0.218,30.48692,6.642329,2460.04,OSBPL8,oxysterol binding protein like 8
960,9.69E-202,5.53E-204,0.205,30.47533,6.24694,2715.04,CD44,CD44 molecule (Indian blood group)
6138,1.13E-201,6.51E-204,0.191,30.46999,5.81233,2387.94,RPL15,ribosomal protein L15
4820,1.21E-201,7.01E-204,0.175,30.46758,5.335151,2217,NKTR,natural killer cell triggering receptor
1105,1.22E-201,7.09E-204,0.201,30.46719,6.128276,2099.05,CHD1,chromodomain helicase DNA binding protein 1
25853,3.03E-201,1.77E-203,0.293,30.43721,8.911643,10809.52,DCAF12,DDB1 and CUL4 associated factor 12
5500,3.10E-201,1.82E-203,0.236,30.43631,7.197147,2020.97,PPP1CB,protein phosphatase 1 catalytic subunit beta
6206,4.01E-201,2.36E-203,0.334,30.42768,10.160738,6519.69,RPS12,ribosomal protein S12
80709,6.07E-201,3.60E-203,0.186,30.41385,5.651881,3389.85,AKNA,AT-hook transcription factor
2533,1.54E-200,9.16E-203,0.23,30.38319,6.97936,4371.55,FYB1,FYN binding protein 1
5494,6.27E-200,3.76E-202,0.214,30.33672,6.503556,3375.89,PPM1A,"protein phosphatase, Mg2+/Mn2+ dependent 1A"
5934,1.45E-199,8.75E-202,0.225,30.30889,6.824478,2433.67,RBL2,RB transcriptional corepressor like 2
11151,2.27E-199,1.38E-201,0.233,30.29397,7.055276,2352.63,CORO1A,coronin 1A
114908,5.10E-199,3.11E-201,0.245,30.26713,7.413918,1578.3,TMEM123,transmembrane protein 123
56261,1.27E-198,7.77E-201,0.206,30.23685,6.224175,2631.55,GPCPD1,glycerophosphocholine phosphodiesterase 1
79668,1.34E-198,8.24E-201,0.221,30.23489,6.696036,2693.01,PARP8,poly(ADP-ribose) polymerase family member 8
6428,1.77E-198,1.09E-200,0.204,30.22557,6.154053,1431.16,SRSF3,serine and arginine rich splicing factor 3
5775,7.62E-198,4.73E-200,0.212,30.17709,6.40952,1839.98,PTPN4,protein tyrosine phosphatase non-receptor type 4
23253,1.06E-197,6.61E-200,0.19,30.16602,5.745582,2516.61,ANKRD12,ankyrin repeat domain 12
6154,2.77E-197,1.74E-199,0.28,30.13396,8.451346,2320.76,RPL26,ribosomal protein L26
23272,5.55E-197,3.50E-199,0.194,30.11075,5.830505,1718.85,TASOR,transcription activation suppressor
7536,7.17E-197,4.55E-199,0.195,30.1021,5.88042,2091.59,SF1,splicing factor 1
6141,1.31E-196,8.33E-199,0.255,30.082,7.657842,1676.64,RPL18,ribosomal protein L18
8780,3.64E-196,2.33E-198,0.277,30.04779,8.323548,5457.59,RIOK3,RIO kinase 3
5586,3.82E-196,2.46E-198,0.225,30.04605,6.766681,1856.95,PKN2,protein kinase N2
57515,3.94E-196,2.55E-198,0.238,30.04489,7.145214,1729.23,SERINC1,serine incorporator 1
387,6.76E-196,4.39E-198,0.229,30.02675,6.867901,1732.76,RHOA,ras homolog family member A
7128,1.19E-195,7.79E-198,0.22,30.00769,6.596447,3549.59,TNFAIP3,TNF alpha induced protein 3
81688,2.10E-195,1.38E-197,0.225,29.98873,6.739905,1914.02,C6orf62,chromosome 6 open reading frame 62
3048,2.21E-195,1.46E-197,0.396,29.98682,11.887608,17235.5,HBG2,hemoglobin subunit gamma 2
6147,4.40E-194,2.92E-196,0.284,29.88684,8.485859,2345.88,RPL23A,ribosomal protein L23a
23214,5.36E-194,3.57E-196,0.215,29.88013,6.420514,4178.64,XPO6,exportin 6
25777,2.34E-193,1.56E-195,0.192,29.83067,5.724621,2591.2,SUN2,Sad1 and UNC84 domain containing 2
8407,7.19E-193,4.83E-195,0.249,29.79288,7.42014,3019.68,TAGLN2,transgelin 2
1974,1.07E-192,7.22E-195,0.249,29.77942,7.412835,1670.54,EIF4A2,eukaryotic translation initiation factor 4A2
2353,1.20E-192,8.13E-195,0.293,29.77542,8.736512,3695.6,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
4853,1.77E-192,1.21E-194,0.187,29.76219,5.552142,3462.7,NOTCH2,notch receptor 2
10487,3.45E-192,2.36E-194,0.221,29.73964,6.576316,2228.95,CAP1,cyclase associated actin cytoskeleton regulatory protein 1
143686,2.30E-191,1.58E-193,0.229,29.67568,6.794113,3157.06,SESN3,sestrin 3
7114,2.37E-191,1.63E-193,0.366,29.67457,10.863509,13138.56,TMSB4X,thymosin beta 4 X-linked
4601,3.19E-191,2.21E-193,0.236,29.6644,7.006755,2592.36,MXI1,"MAX interactor 1, dimerization protein"
9295,4.17E-191,2.91E-193,0.199,29.65521,5.894839,1636.43,SRSF11,serine and arginine rich splicing factor 11
55843,4.97E-191,3.48E-193,0.216,29.64913,6.395473,1699.61,ARHGAP15,Rho GTPase activating protein 15
6233,5.24E-191,3.68E-193,0.272,29.64722,8.071268,2079.48,RPS27A,ribosomal protein S27a
139818,6.51E-191,4.59E-193,0.236,29.63977,7.006964,2717.52,DOCK11,dedicator of cytokinesis 11
6203,8.56E-191,6.07E-193,0.258,29.63037,7.641932,2036.02,RPS9,ribosomal protein S9
6232,9.29E-191,6.62E-193,0.301,29.62746,8.914091,2754.54,RPS27,ribosomal protein S27
6228,3.41E-190,2.44E-192,0.243,29.58342,7.176172,2243.32,RPS23,ribosomal protein S23
6144,5.95E-190,4.27E-192,0.308,29.56452,9.116257,6484.71,RPL21,ribosomal protein L21
10625,8.55E-190,6.20E-192,0.222,29.55196,6.548118,2555.85,IVNS1ABP,influenza virus NS1A binding protein
56990,8.55E-190,6.17E-192,0.254,29.5521,7.516224,1804.39,CDC42SE2,CDC42 small effector 2
57580,9.86E-190,7.18E-192,0.204,29.54698,6.035998,4510.88,PREX1,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1"
5527,1.24E-189,9.05E-192,0.191,29.53917,5.648386,1596.6,PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma
27332,1.43E-189,1.05E-191,0.203,29.53403,5.983031,1677.83,ZNF638,zinc finger protein 638
7520,1.79E-189,1.32E-191,0.204,29.5264,6.019217,1455.44,XRCC5,X-ray repair cross complementing 5
54014,2.13E-189,1.58E-191,0.182,29.52028,5.383126,2721.53,BRWD1,bromodomain and WD repeat domain containing 1
10097,4.52E-189,3.36E-191,0.253,29.49476,7.460797,2636.19,ACTR2,actin related protein 2
6223,1.06E-188,7.89E-191,0.198,29.46585,5.84418,1619.66,RPS19,ribosomal protein S19
55291,2.92E-188,2.19E-190,0.18,29.43119,5.306094,2082.87,PPP6R3,protein phosphatase 6 regulatory subunit 3
54210,3.69E-188,2.78E-190,0.211,29.42311,6.197242,3296.91,TREM1,triggering receptor expressed on myeloid cells 1
81704,4.38E-188,3.31E-190,0.2,29.41715,5.869269,3569.05,DOCK8,dedicator of cytokinesis 8
6188,6.24E-188,4.74E-190,0.252,29.40502,7.410056,2296.39,RPS3,ribosomal protein S3
54861,6.83E-188,5.21E-190,0.219,29.4018,6.451071,1411.05,SNRK,SNF related kinase
4792,7.45E-188,5.71E-190,0.295,29.39869,8.669533,4536.9,NFKBIA,NFKB inhibitor alpha
5728,3.53E-187,2.71E-189,0.246,29.34566,7.233631,3140.05,PTEN,phosphatase and tensin homolog
598,5.18E-187,4.00E-189,0.282,29.33248,8.268176,5629.03,BCL2L1,BCL2 like 1
55573,7.01E-187,5.43E-189,0.215,29.32204,6.317782,1516.6,CDV3,CDV3 homolog
80208,7.99E-187,6.22E-189,0.188,29.31741,5.517634,1824.49,SPG11,"SPG11 vesicle trafficking associated, spatacsin"
64407,8.56E-187,6.69E-189,0.29,29.31492,8.509223,2016.2,RGS18,regulator of G protein signaling 18
6160,1.20E-186,9.40E-189,0.271,29.30335,7.955649,2670.15,RPL31,ribosomal protein L31
