action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,12658360,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CNC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323035,,CHEMBL2323035,5.68,0,http://www.openphacts.org/units/Nanomolar,1848887,=,1,1,=,,IC50,nM,,2100.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,2.1
,,12658361,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323034,,CHEMBL2323034,5.36,0,http://www.openphacts.org/units/Nanomolar,1848886,=,1,1,=,,IC50,nM,,4400.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,4.4
,,12658362,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc([N+](=O)[O-])cc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323251,,CHEMBL2323251,5.77,0,http://www.openphacts.org/units/Nanomolar,1849131,=,1,1,=,,IC50,nM,,1700.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,1.7
,,12658363,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2cccnc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323250,,CHEMBL2323250,5.68,0,http://www.openphacts.org/units/Nanomolar,1849130,=,1,1,=,,IC50,nM,,2100.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,2.1
,,12658364,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1cccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323249,,CHEMBL2323249,5.62,0,http://www.openphacts.org/units/Nanomolar,1849129,=,1,1,=,,IC50,nM,,2400.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,2.4
,,12658365,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323248,,CHEMBL2323248,5.72,0,http://www.openphacts.org/units/Nanomolar,1849128,=,1,1,=,,IC50,nM,,1900.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,1.9
,,12658366,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2cccc(Br)c2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323247,,CHEMBL2323247,5.62,0,http://www.openphacts.org/units/Nanomolar,1849127,=,1,1,=,,IC50,nM,,2400.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,2.4
,,12658367,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323246,,CHEMBL2323246,6.46,0,http://www.openphacts.org/units/Nanomolar,1849126,=,1,1,=,,IC50,nM,,350.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,0.35
,,12658368,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccccc2[N+](=O)[O-])CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323245,,CHEMBL2323245,5.80,0,http://www.openphacts.org/units/Nanomolar,1849125,=,1,1,=,,IC50,nM,,1600.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,1.6
,,12658369,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccc3ccccc3c2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323244,,CHEMBL2323244,5.52,0,http://www.openphacts.org/units/Nanomolar,1849124,=,1,1,=,,IC50,nM,,3000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,3.0
,,12658370,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cccc3ccccc23)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2321891,,CHEMBL2321891,5.47,0,http://www.openphacts.org/units/Nanomolar,1849123,=,1,1,=,,IC50,nM,,3400.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,3.4
,,12658371,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(O)cc(C)c1CN1CCN(C(=O)CNC(=O)CC23CC4CC(CC(C4)C2)C3)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323060,,CHEMBL2323060,5.10,0,http://www.openphacts.org/units/Nanomolar,1848913,=,1,1,=,,IC50,nM,,8000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,8.0
,,12658372,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323059,,CHEMBL2323059,6.12,0,http://www.openphacts.org/units/Nanomolar,1848912,=,1,1,=,,IC50,nM,,750.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,0.75
,,12658373,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccc(Cl)cc2Cl)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323058,,CHEMBL2323058,5.18,0,http://www.openphacts.org/units/Nanomolar,1848911,=,1,1,=,,IC50,nM,,6600.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,6.6
,,12658374,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cc(Br)ccc2O)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323057,,CHEMBL2323057,6.30,0,http://www.openphacts.org/units/Nanomolar,1848910,=,1,1,=,,IC50,nM,,500.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,0.5
,,12658375,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccncc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323056,,CHEMBL2323056,4.84,0,http://www.openphacts.org/units/Nanomolar,1848909,=,1,1,=,,IC50,nM,,14500.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,14.5
,,12658376,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)Nc1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323055,,CHEMBL2323055,5.12,0,http://www.openphacts.org/units/Nanomolar,1848908,=,1,1,=,,IC50,nM,,7500.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,7.5
,,12658377,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccc(C(=O)O)cc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323054,,CHEMBL2323054,,0,http://www.openphacts.org/units/Nanomolar,1848907,>,1,1,>,,IC50,nM,,40000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,40.0
,,12658378,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323053,,CHEMBL2323053,4.82,0,http://www.openphacts.org/units/Nanomolar,1848906,=,1,1,=,,IC50,nM,,15000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,15.0
,,12658379,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323052,,CHEMBL2323052,5.96,0,http://www.openphacts.org/units/Nanomolar,1848905,=,1,1,=,,IC50,nM,,1100.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,1.1
,,12658380,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccc(O)cc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323051,,CHEMBL2323051,5.16,0,http://www.openphacts.org/units/Nanomolar,1848904,=,1,1,=,,IC50,nM,,7000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,7.0
,,12659559,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323050,,CHEMBL2323050,5.10,0,http://www.openphacts.org/units/Nanomolar,1848903,=,1,1,=,,IC50,nM,,8000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,8.0
,,12659560,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccc(Br)cc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323049,,CHEMBL2323049,5.50,0,http://www.openphacts.org/units/Nanomolar,1848902,=,1,1,=,,IC50,nM,,3200.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,3.2
,,12659561,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccc(Cl)cc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323048,,CHEMBL2323048,5.60,0,http://www.openphacts.org/units/Nanomolar,1848901,=,1,1,=,,IC50,nM,,2500.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,2.5
,,12659562,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323047,,CHEMBL2323047,5.27,0,http://www.openphacts.org/units/Nanomolar,1848900,=,1,1,=,,IC50,nM,,5400.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,5.4
,,12659563,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cccnc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323046,,CHEMBL2323046,5.17,0,http://www.openphacts.org/units/Nanomolar,1848899,=,1,1,=,,IC50,nM,,6800.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,6.8
,,12659564,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cccc(C(=O)O)c2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2321889,,CHEMBL2321889,,0,http://www.openphacts.org/units/Nanomolar,1848898,>,1,1,>,,IC50,nM,,40000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,40.0
,,12659565,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323045,,CHEMBL2323045,4.85,0,http://www.openphacts.org/units/Nanomolar,1848897,=,1,1,=,,IC50,nM,,14000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,14.0
,,12659566,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cccc(C(F)(F)F)c2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323044,,CHEMBL2323044,5.58,0,http://www.openphacts.org/units/Nanomolar,1848896,=,1,1,=,,IC50,nM,,2600.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,2.6
,,12659567,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323043,,CHEMBL2323043,5.96,0,http://www.openphacts.org/units/Nanomolar,1848895,=,1,1,=,,IC50,nM,,1100.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,1.1
,,12659568,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323274,,CHEMBL2323274,5.92,0,http://www.openphacts.org/units/Nanomolar,1849154,=,1,1,=,,IC50,nM,,1200.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,1.2
,,12659569,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cccc(Br)c2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323273,,CHEMBL2323273,6.00,0,http://www.openphacts.org/units/Nanomolar,1849153,=,1,1,=,,IC50,nM,,1000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,1.0
,,12659570,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cccc(OCc3ccccc3)c2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323272,,CHEMBL2323272,5.40,0,http://www.openphacts.org/units/Nanomolar,1849152,=,1,1,=,,IC50,nM,,4000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,4.0
,,12659571,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323271,,CHEMBL2323271,5.70,0,http://www.openphacts.org/units/Nanomolar,1849151,=,1,1,=,,IC50,nM,,2000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,2.0
,,12659572,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccn2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323270,,CHEMBL2323270,5.07,0,http://www.openphacts.org/units/Nanomolar,1849150,=,1,1,=,,IC50,nM,,8500.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,8.5
,,12659573,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2C(=O)O)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323269,,CHEMBL2323269,,0,http://www.openphacts.org/units/Nanomolar,1849149,>,1,1,>,,IC50,nM,,40000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,40.0
